============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  K(15.2 GeV) ==> Podk³adka+Tarcza(  23 um) ================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  149 19 .1518968E+11   2300014E-01  .4932E+01 -.6013E+01   .9999999  .0000605 -.0000436
T  150 19 .1519053E+11   2300001E-01 -.1307E+02  .5037E+02   .9999998 -.0002462  .0005124
T  151 19 .1518953E+11   2300009E-01 -.1594E+02  .2211E+01   .9999999 -.0002221  .0001792
T  152 19 .1518960E+11   2300020E-01 -.1011E+02  .1162E+02   .9999999 -.0001409  .0002360
T  153 19 .1519004E+11   2300013E-01  .5286E+01 -.8110E+01   .9999999  .0000598  .0000695
T  154 19 .1519084E+11   2300022E-01  .2046E+01 -.5793E+01   .9999999 -.0000277 -.0000384
T  155 19 .1519077E+11   2300005E-01  .6471E+01 -.5050E+01   .9999999  .0001979  .0000388
T  156 19 .1519001E+11   2300017E-01  .3339E+02  .7461E+01   .9999991  .0012063  .0006103
T  157 19 .1519067E+11   2300007E-01  .1897E+02  .5817E+01   .9999999  .0003827  .0002260
T  158 19 .1519086E+11   2300023E-01  .1566E+01 -.2798E+01   .9999999 -.0000450 -.0000584
T  159 19 .1518993E+11   2300015E-01  .4740E+01  .7912E+01   .9999999  .0000626  .0000900
T  160 19 .1519057E+11   2300013E-01  .3739E+01 -.7828E+01   .9999999 -.0000512 -.0000535
T  161 19 .1519074E+11   2300020E-01  .7053E+01 -.2239E+01   .9999999  .0001531  .0000633
T  162 19 .1518981E+11   2300018E-01 -.8308E+00 -.6236E+01   .9999999 -.0000190  .0000645
T  163 19 .1518921E+11   2300014E-01  .3702E+01  .9624E+01   .9999999  .0000226  .0001216
T  164 19 .1518956E+11   2300011E-01 -.1739E+02 -.1069E+02   .9999999 -.0000747 -.0000811
T  165 19 .1518853E+11   2300007E-01 -.2773E+01  .2307E+02   .9999999 -.0002264  .0001703
T  166 19 .1518903E+11   2300018E-01 -.9665E+01  .1294E+02   .9999999 -.0000908  .0001970
T  167 19 .1519074E+11   2300004E-01 -.1489E+01 -.3056E+01   .9999999 -.0001211 -.0000706
T  168 19 .1518987E+11   2300021E-01 -.5025E+01  .2402E+01   .9999999 -.0000388 -.0000152
T  169 19 .1518980E+11   2300017E-01  .5698E+01 -.5028E+01   .9999999  .0000705 -.0000437
T  170 19 .1518991E+11   2300011E-01  .1505E+02 -.2018E+01   .9999999  .0001214 -.0000642
T  171 19 .1519137E+11   2300012E-01 -.3089E+01 -.2039E+02   .9999999  .0000680 -.0000383
T  172 19 .1519110E+11   2300004E-01  .1163E+02 -.1377E+02   .9999999  .0002223 -.0001088
T  173 19 .1518929E+11   2300020E-01 -.1458E+02 -.8199E+01   .9999999 -.0001995  .0000354
T  174 19 .1518918E+11   2300019E-01 -.4697E+01 -.1529E+01   .9999999  .0000084  .0000361
