============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  K(15.2 GeV) ==> Tarcza(  11 um) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T 4985 19 .1519311E+11   1100005E-01 -.5408E+01  .6371E+01   .9999999 -.0000829  .0001293
T 4986 19 .1519259E+11   1100006E-01  .1291E+01 -.7341E+01   .9999999  .0000521 -.0000867
T 4987 19 .1519374E+11   1100006E-01  .2000E+01  .1651E+01   .9999999  .0000357  .0000570
T 4988 19 .1519359E+11   1100021E-01  .2850E+00  .5953E+01   .9999999 -.0000650  .0000661
T 4989 19 .1519260E+11   1100011E-01 -.7373E+01  .4791E+00   .9999999 -.0000424  .0000405
T 4990 19 .1519200E+11   1100019E-01  .1214E+02 -.1121E+02   .9999999  .0001059 -.0002035
T 4991 19 .1519327E+11   1100019E-01 -.1014E+02  .7070E+01   .9999999 -.0001472  .0001191
T 4992 19 .1519196E+11   1100016E-01  .3355E+01 -.1104E+02   .9999999  .0000480 -.0002484
T 4993 19 .1519244E+11   1100017E-01 -.9154E-01 -.3355E+01   .9999999  .0000291 -.0000242
T 4994 19 .1519211E+11   1100005E-01 -.9596E+01 -.2618E+01   .9999999 -.0001243  .0002925
T 4995 19 .1519273E+11   1100013E-01  .2291E+01 -.9448E+01   .9999999  .0001237 -.0001051
T 4996 19 .1519254E+11   1100002E-01  .5441E+01  .3300E+01   .9999999  .0000568 -.0000368
T 4997 19 .1519278E+11   1100009E-01  .6855E+01 -.7340E+01   .9999999  .0001990 -.0000929
T 4998 19 .1519295E+11   1100009E-01 -.5249E+01 -.1758E+02   .9999999 -.0000175 -.0003535
T 4999 19 .1519351E+11   1100014E-01  .3087E+02 -.1851E+02   .9999998  .0005181 -.0003116
T 5000 19 .1519313E+11   1100018E-01 -.1182E+02  .3118E+01   .9999999 -.0001444  .0000036
T 5001 19 .1519227E+11   1100010E-01  .1112E+02 -.5779E+01   .9999999  .0002259 -.0001609
T 5002 19 .1519228E+11   1100003E-01 -.9335E+01 -.6739E+01   .9999999 -.0001170 -.0001612
T 5003 19 .1519348E+11   1100004E-01 -.2752E+01 -.2386E+01   .9999999 -.0000166 -.0000010
T 5004 19 .1519342E+11   1100006E-01  .1241E+01  .5443E+01   .9999999  .0000719  .0000448
T 5005 19 .1519246E+11   1100021E-01 -.1077E+02  .2841E+01   .9999999 -.0001989 -.0001278
T 5006 19 .1519220E+11   1100021E-01 -.7438E+01 -.5400E+01   .9999999 -.0001227 -.0000917
T 5007 19 .1519193E+11   1100001E-01  .1469E+02  .5052E+01   .9999999  .0002324  .0000337
T 5008 19 .1519195E+11   1100014E-01 -.1330E+02 -.6318E+01   .9999999 -.0001643  .0000270
T 5009 19 .1519335E+11   1100014E-01 -.1474E+02  .2743E+01   .9999999 -.0001622  .0000987
T 5010 19 .1519310E+11   1100008E-01  .7775E+01 -.4233E+01   .9999999  .0002931  .0000313
T 5011 19 .1519299E+11   1100020E-01 -.9546E+01 -.5201E+01   .9999999 -.0001217 -.0001086
T 5012 19 .1519396E+11   1100001E-01 -.1285E+02 -.6644E+01   .9999999 -.0001991 -.0000308
T 5013 19 .1519271E+11   1100020E-01 -.5382E+01 -.2174E+02   .9999999 -.0000152 -.0004054
T 5014 19 .1519305E+11   1100021E-01 -.1275E+02  .1059E+02   .9999999 -.0001877  .0001388
T 5015 19 .1519197E+11   1100016E-01 -.2661E+00 -.1779E+02   .9999999  .0000025 -.0001036
T 5016 19 .1519147E+11   1100008E-01  .2668E+01  .4412E+01   .9999999 -.0000525 -.0000773
T 5017 19 .1519205E+11   1100009E-01  .4991E+00  .1780E+01   .9999999 -.0001098  .0000822
T 5018 19 .1519276E+11   1100007E-01 -.1001E+02  .4190E+00   .9999999 -.0000796  .0000877
T 5019 19 .1519201E+11   1100015E-01  .3049E+02 -.5913E+01   .9999999  .0002992 -.0000918
T 5020 19 .1519332E+11   1100002E-01 -.5017E+01 -.5272E+01   .9999999 -.0001599  .0001345
T 5021 19 .1519370E+11   1100014E-01 -.2693E+01 -.1037E+01   .9999999 -.0000696 -.0002639
T 5022 19 .1519354E+11   1100019E-01  .1564E+02  .4589E+01   .9999999  .0001517  .0000290
T 5023 19 .1519259E+11   1100022E-01  .6398E+00  .8682E+01   .9999999  .0000012  .0001200
T 5024 19 .1519335E+11   1100013E-01  .1803E+02 -.1629E+02   .9999999  .0001557 -.0002051
T 5025 19 .1519449E+11   1100004E-01 -.9935E+01 -.7003E+01   .9999999 -.0000732 -.0000122
T 5026 19 .1519250E+11   1100022E-01 -.7717E+01  .8885E+01   .9999999 -.0001375  .0002033
T 5027 19 .1519416E+11   1100017E-01 -.7521E+01  .5635E+01   .9999999  .0000238  .0001162
T 5028 19 .1519404E+11   1100010E-01  .8741E+01 -.2716E+02   .9999999  .0001662 -.0005025
T 5029 19 .1519292E+11   1100010E-01  .4762E+01  .1680E+01   .9999999  .0000806  .0000458
T 5030 19 .1519352E+11   1100016E-01 -.4763E+01 -.1137E+02   .9999999  .0000160 -.0001807
T 5031 19 .1519122E+11   1100013E-01  .7455E+01 -.2668E+01   .9999999  .0000794 -.0001106
T 5032 19 .1519264E+11   1100012E-01 -.1640E+02  .4250E+02   .9999997 -.0003048  .0006749
T 5033 19 .1519254E+11   1100001E-01  .1083E+02  .3769E+00   .9999999  .0001745 -.0000657
T 5034 19 .1519153E+11   1100016E-01 -.1858E+02  .2378E+02   .9999999 -.0002880  .0003615
T 5035 19 .1519147E+11   1100017E-01 -.1213E+02 -.1110E+02   .9999999 -.0002860 -.0002036
T 5036 19 .1519266E+11   1100021E-01  .8439E+00  .1916E+02   .9999999  .0000082  .0002922
T 5037 19 .1519217E+11   1100018E-01 -.1698E+02  .1532E+02   .9999999 -.0002922  .0002382
T 5038 19 .1519234E+11   1100004E-01  .5319E+01 -.1383E+02   .9999999  .0000665 -.0001423
T 5039 19 .1519307E+11   1100015E-01  .5517E+01 -.1314E+02   .9999999  .0000458 -.0002055
T 5040 19 .1519360E+11   1100014E-01 -.1463E+02 -.1590E+02   .9999999 -.0001409 -.0001509
T 5041 19 .1519361E+11   1100013E-01 -.9436E+01 -.2913E+01   .9999999 -.0001637 -.0000462
T 5042 19 .1519269E+11   1100008E-01  .4677E+01 -.8455E+01   .9999999 -.0000286 -.0001761
T 5043 19 .1519172E+11   1100020E-01 -.1735E+02 -.3252E+01   .9999999 -.0002770 -.0000822
T 5044 19 .1519322E+11   1100016E-01  .5846E+01  .5565E+01   .9999999  .0001192  .0001181
T 5045 19 .1519283E+11   1100019E-01 -.9459E+01  .9421E+01   .9999999 -.0001061  .0001634
T 5046 19 .1519202E+11   1100010E-01 -.1466E+01  .1450E+02   .9999999  .0000490  .0002455
T 5047 19 .1519213E+11   1100015E-01  .1161E+02 -.7627E+01   .9999999  .0002139 -.0000982
T 5048 19 .1519365E+11   1100020E-01 -.2893E+01 -.1454E+01   .9999999  .0000120  .0000299
T 5049 19 .1519263E+11   1100012E-01 -.1591E+01  .1164E+02   .9999999 -.0001250  .0003793
T 5050 19 .1519314E+11   1100012E-01  .5926E+00  .5485E+01   .9999999  .0000955  .0000606
T 5051 19 .1519247E+11   1100016E-01 -.6499E+00  .1561E+01   .9999999  .0000025  .0000445
T 5052 19 .1519327E+11   1100019E-01 -.4429E+00  .1348E+02   .9999999  .0000351  .0001601
T 5053 19 .1519273E+11   1100023E-01 -.5734E+01 -.8525E+01   .9999999 -.0001527 -.0000689
T 5054 19 .1519314E+11   1100019E-01 -.7617E+01  .5126E+01   .9999999 -.0000837 -.0000203
T 5055 19 .1519245E+11   1100022E-01  .4235E+01 -.1185E+00   .9999999  .0000571  .0001339
T 5056 19 .1519215E+11   1100006E-01  .1937E+01  .1028E+01   .9999999  .0000362  .0000111
T 5057 19 .1519347E+11   1100001E-01 -.3570E+01 -.9245E+01   .9999999  .0000172 -.0001186
T 5058 19 .1519268E+11   1100009E-01  .2609E+02  .8333E+01   .9999998  .0005977  .0000630
T 5059 19 .1519184E+11   1100020E-01 -.5453E+01  .9145E+01   .9999999 -.0000225  .0001495
T 5060 19 .1519181E+11   1100015E-01 -.7485E+01  .7919E+01   .9999999 -.0001937  .0001272
T 5061 19 .1519313E+11   1100014E-01 -.6608E+01  .1097E+01   .9999999 -.0002255 -.0001448
T 5062 19 .1519262E+11   1100018E-01  .1904E+02 -.5780E+01   .9999999  .0002069 -.0001782
T 5063 19 .1519315E+11   1100007E-01 -.8687E+01 -.2252E+01   .9999999 -.0001372 -.0000115
T 5064 19 .1519330E+11   1100009E-01 -.1532E+02 -.8540E+00   .9999999 -.0001121  .0002249
T 5065 19 .1519144E+11   1100013E-01  .7853E+00  .4691E+01   .9999999 -.0001464  .0001978
T 5066 19 .1519275E+11   1100006E-01 -.5959E+00  .9467E+01   .9999999 -.0000240  .0001269
T 5067 19 .1519243E+11   1100018E-01  .3978E+01  .7609E+01   .9999999  .0000963  .0000750
T 5068 19 .1519429E+11   1100014E-01  .8972E+01  .1582E+00   .9999999  .0001566 -.0000175
T 5069 19 .1519292E+11   1100013E-01  .2798E+02 -.1576E+02   .9999999  .0002861 -.0001978
T 5070 19 .1519351E+11   1100005E-01  .1503E+02 -.4864E+01   .9999999  .0003450 -.0003487
T 5071 19 .1519122E+11   1100019E-01 -.3621E+01 -.9104E+01   .9999999 -.0000037 -.0001242
T 5072 19 .1519330E+11   1100009E-01 -.6024E+01 -.1575E+02   .9999999 -.0001630 -.0001165
T 5073 19 .1519289E+11   1100014E-01  .2827E+01 -.2823E+01   .9999999  .0000698  .0000018
T 5074 19 .1519318E+11   1100016E-01 -.1884E+01  .7306E+01   .9999999 -.0000261  .0001292
T 5075 19 .1519316E+11   1100017E-01 -.7804E+00  .6045E+01   .9999999 -.0000648  .0001730
T 5076 19 .1519364E+11   1100011E-01 -.1178E+02  .2468E+01   .9999999 -.0002994  .0000849
T 5077 19 .1519295E+11   1100007E-01 -.4608E+01  .5483E+01   .9999999 -.0000382  .0000894
T 5078 19 .1519245E+11   1100015E-01  .3133E+02  .1836E+02   .9999999  .0004165  .0002476
T 5079 19 .1519178E+11   1100023E-01  .9107E+01 -.1173E+00   .9999999  .0001067  .0000246
T 5080 19 .1519342E+11   1100019E-01 -.2845E+01 -.3983E+01   .9999999 -.0001745 -.0000479
T 5081 19 .1519305E+11   1100014E-01 -.5470E+01  .9386E+01   .9999999 -.0000267  .0001668
T 5082 19 .1519232E+11   1100021E-01 -.2355E+01 -.4436E+00   .9999999 -.0000306  .0000233
T 5083 19 .1519178E+11   1100010E-01  .8240E+01  .4159E+01   .9999999  .0001036  .0000796
T 5084 19 .1519371E+11   1100018E-01  .6548E+01 -.1008E+02   .9999999  .0001140 -.0001398
T 5085 19 .1519088E+11   1100020E-01  .1626E+01  .1028E+02   .9999999 -.0000959  .0003019
T 5086 19 .1519366E+11   1100020E-01 -.1785E+00 -.2378E+02   .9999999 -.0000358 -.0003054
T 5087 19 .1519245E+11   1100007E-01 -.9631E+01 -.4827E+01   .9999999 -.0001082 -.0000697
T 5088 19 .1519137E+11   1100019E-01  .1219E+02 -.1127E+01   .9999999  .0001966 -.0000299
T 5089 19 .1519300E+11   1100015E-01 -.4598E+01  .1120E+01   .9999999  .0000926 -.0000272
T 5090 19 .1519259E+11   1100006E-01  .2062E+02 -.6775E+01   .9999999  .0002826  .0000568
T 5091 19 .1519252E+11   1100016E-01 -.1565E+01  .8689E+01   .9999999  .0000242  .0001481
T 5092 19 .1519238E+11   1100020E-01 -.4797E+01  .1088E+02   .9999999 -.0000859 -.0000093
T 5093 19 .1519231E+11   1100007E-01 -.9586E+01  .1132E+02   .9999999 -.0002887  .0001632
T 5094 19 .1519249E+11   1100017E-01  .1193E+01  .2078E+01   .9999999  .0000135  .0002901
T 5095 19 .1519261E+11   1100007E-01  .4585E+00 -.6119E+01   .9999999  .0000858 -.0001266
T 5096 19 .1519147E+11   1100019E-01  .2562E+01  .5063E+01   .9999999  .0000904  .0001661
T 5097 19 .1519283E+11   1100016E-01  .3436E+01 -.5472E+01   .9999999 -.0000089 -.0001260
T 5098 19 .1519238E+11   1100015E-01 -.6285E+01 -.6389E+01   .9999999 -.0001021 -.0000864
T 5099 19 .1519328E+11   1100007E-01 -.4304E+01  .9876E-01   .9999999 -.0000565 -.0000133
T 5100 19 .1519331E+11   1100021E-01 -.6293E+01  .3410E+01   .9999999  .0000070  .0000195
T 5101 19 .1519170E+11   1100002E-01  .1865E+02 -.5961E+01   .9999999  .0001968  .0001529
T 5102 19 .1519284E+11   1100022E-01  .4398E+01 -.3971E+02   .9999999 -.0000078 -.0003196
T 5103 19 .1519310E+11   1100007E-01 -.2921E+01 -.1399E+00   .9999999 -.0000796  .0000664
T 5104 19 .1519261E+11   1100022E-01 -.1654E+01  .6831E+01   .9999999  .0000907  .0000907
T 5105 19 .1519344E+11   1100006E-01  .6282E+00 -.7829E+01   .9999999  .0000376 -.0001167
T 5106 19 .1519103E+11   1100012E-01 -.2989E+01 -.9567E+01   .9999999 -.0001529 -.0003372
T 5107 19 .1519176E+11   1100011E-01  .7705E+01  .2730E+02   .9999999  .0001653  .0001509
T 5108 19 .1519220E+11   1100007E-01 -.3773E+01 -.6162E+01   .9999999 -.0000164 -.0000606
T 5109 19 .1519286E+11   1100003E-01 -.5574E+01  .7580E+01   .9999999 -.0000769  .0001092
T 5110 19 .1519277E+11   1100013E-01 -.1129E+01  .5721E+01   .9999999 -.0000643  .0000711
T 5111 19 .1519186E+11   1100011E-01 -.4327E+01  .1202E+01   .9999999  .0000324  .0000010
T 5112 19 .1519290E+11   1100013E-01  .1103E+02  .5885E+01   .9999999  .0002019  .0001085
T 5113 19 .1519274E+11   1100006E-01  .3514E+01 -.5760E+01   .9999999  .0000169 -.0000634
T 5114 19 .1519277E+11   1100002E-01 -.4097E+01 -.3321E+02   .9999998 -.0000503 -.0005866
T 5115 19 .1519258E+11   1100008E-01 -.1405E+02  .1149E+02   .9999999 -.0002342  .0001768
T 5116 19 .1519303E+11   1100015E-01 -.1254E+02 -.5939E+01   .9999999 -.0002793 -.0000725
T 5117 19 .1519287E+11   1100013E-01  .3819E+00  .6792E+00   .9999999 -.0000175 -.0000267
T 5118 19 .1519443E+11   1100009E-01 -.4828E+01 -.3914E+01   .9999999  .0000122 -.0001563
T 5119 19 .1519297E+11   1100021E-01  .3389E+01  .5618E+00   .9999999  .0000524  .0000754
T 5120 19 .1519275E+11   1100002E-01  .1229E+02 -.1342E+02   .9999999  .0002289 -.0001937
T 5121 19 .1519240E+11   1100012E-01  .2488E-01  .5271E+01   .9999999 -.0001148  .0000197
T 5122 19 .1519211E+11   1100009E-01  .6054E+01 -.3138E+01   .9999999  .0000560 -.0001032
T 5123 19 .1519191E+11   1100019E-01 -.8826E+01 -.7171E+00   .9999999 -.0001818 -.0000219
T 5124 19 .1519111E+11   1100001E-01  .6554E+01  .6049E+01   .9999999  .0001566  .0001079
T 5125 19 .1519257E+11   1100001E-01  .2978E+01  .3021E+02   .9999999  .0001897  .0004504
T 5126 19 .1519233E+11   1100021E-01 -.4171E+01  .3124E+01   .9999999 -.0000775  .0001247
T 5127 19 .1519331E+11   1100009E-01 -.1077E+02 -.4898E+01   .9999999 -.0001658 -.0001042
T 5128 19 .1519316E+11   1100019E-01  .1665E+02 -.2304E+01   .9999999  .0001908  .0000437
T 5129 19 .1519191E+11   1100022E-01 -.3660E+01  .9431E+00   .9999999 -.0000371  .0000457
T 5130 19 .1519134E+11   1100018E-01  .1551E+01  .1306E+02   .9999999 -.0000772  .0002416
T 5131 19 .1519225E+11   1100001E-01  .4237E+01 -.6721E+01   .9999999 -.0000164 -.0000986
T 5132 19 .1519346E+11   1100019E-01  .1693E+02 -.1509E+02   .9999999  .0003754 -.0001344
T 5133 19 .1519277E+11   1100010E-01 -.8029E+00 -.5888E+01   .9999999 -.0000655 -.0000177
T 5134 19 .1519262E+11   1100014E-01  .4714E+01 -.5282E+01   .9999999  .0000864 -.0001147
T 5135 19 .1519291E+11   1100009E-01 -.8064E+01  .9311E+01   .9999999 -.0000835  .0001729
T 5136 19 .1519311E+11   1100011E-01  .9463E+01  .1213E+01   .9999999  .0001513 -.0000429
T 5137 19 .1519326E+11   1100013E-01  .1020E+02 -.1363E+02   .9999999  .0001313 -.0002204
T 5138 19 .1519302E+11   1100009E-01  .3515E+01  .8819E-01   .9999999  .0000696  .0001012
T 5139 19 .1519197E+11   1100016E-01  .3427E+00  .3185E+01   .9999999  .0001206 -.0000044
T 5140 19 .1519228E+11   1100002E-01  .2377E+01  .1097E+02   .9999999  .0001849  .0001745
T 5141 19 .1519186E+11   1100000E-01 -.5634E+01  .2151E+01   .9999999 -.0001132 -.0000309
T 5142 19 .1519356E+11   1100021E-01 -.3388E+00  .3068E+01   .9999999  .0000109  .0000074
T 5143 19 .1519272E+11   1100003E-01 -.2555E+01  .1276E+02   .9999999  .0000585  .0001115
T 5144 19 .1519152E+11   1100018E-01  .9557E+01  .1878E+01   .9999999  .0002749  .0000005
T 5145 19 .1519290E+11   1100010E-01  .1016E+01  .5125E+01   .9999999  .0000942  .0000237
T 5146 19 .1519314E+11   1100011E-01 -.2002E+02 -.5127E+01   .9999999 -.0002690 -.0002514
T 5147 19 .1519227E+11   1100007E-01 -.1143E+01  .1037E+02   .9999999 -.0000184  .0002084
T 5148 19 .1519216E+11   1100017E-01  .7479E+01  .7779E-01   .9999999  .0000690  .0000342
T 5149 19 .1519193E+11   1100013E-01  .1871E+01 -.1828E+01   .9999999  .0000660 -.0003151
T 5150 19 .1519329E+11   1100021E-01 -.5736E+01  .1301E+02   .9999999 -.0000725  .0000988
T 5151 19 .1519214E+11   1100006E-01 -.1050E+02  .1264E+02   .9999999 -.0001639  .0002165
T 5152 19 .1519355E+11   1100002E-01  .7482E+00 -.8877E+01   .9999999 -.0001335 -.0001393
T 5153 19 .1519185E+11   1100020E-01 -.7759E+01  .1371E+02   .9999999 -.0000232  .0002057
T 5154 19 .1519124E+11   1100007E-01  .7055E+00 -.1128E+02   .9999999  .0000779 -.0001757
T 5155 19 .1519311E+11   1100015E-01 -.9108E+00 -.8361E+01   .9999999 -.0000530 -.0001111
T 5156 19 .1519310E+11   1100015E-01 -.1101E+02 -.6799E+01   .9999999 -.0003542 -.0001829
T 5157 19 .1519212E+11   1100011E-01  .3008E+01  .1785E+02   .9999999  .0000593  .0003471
T 5158 19 .1519183E+11   1100023E-01 -.1481E+02  .7959E+00   .9999999 -.0002730  .0000111
T 5159 19 .1519260E+11   1100018E-01  .8088E+01 -.5433E+01   .9999999  .0001737 -.0001231
T 5160 19 .1519327E+11   1100014E-01 -.5504E+01 -.1779E+02   .9999999 -.0000324 -.0002346
T 5161 19 .1519385E+11   1100006E-01  .1022E+02 -.9422E+01   .9999999  .0002552 -.0001506
T 5162 19 .1519237E+11   1100014E-01  .1311E+01 -.7669E+01   .9999999  .0001155 -.0001145
T 5163 19 .1519215E+11   1100002E-01  .1465E+01 -.7698E+01   .9999999  .0000674 -.0001210
T 5164 19 .1519293E+11   1100008E-01 -.2743E+02 -.3000E+00   .9999998 -.0005723 -.0000101
T 5165 19 .1519359E+11   1100011E-01  .9001E+00  .1399E+02   .9999999 -.0000602  .0001974
T 5166 19 .1519231E+11   1100012E-01  .9016E+01  .1506E+02   .9999999  .0001579  .0001783
T 5167 19 .1519154E+11   1100012E-01  .6245E+00  .1597E+02   .9999999  .0000102  .0001966
T 5168 19 .1519274E+11   1100001E-01  .5022E+00  .3135E+01   .9999999  .0000790  .0000307
T 5169 19 .1519136E+11   1100000E-01 -.7330E+00  .7151E+00   .9999999  .0000379 -.0001375
T 5170 19 .1519364E+11   1100020E-01  .7950E+01 -.1123E+02   .9999999  .0000307 -.0002479
T 5171 19 .1519154E+11   1100012E-01 -.7190E+01 -.1306E+01   .9999999 -.0001046  .0001310
T 5172 19 .1519330E+11   1100022E-01  .2208E+00  .2986E+01   .9999999  .0001408  .0001381
T 5173 19 .1519267E+11   1100004E-01  .2764E+01 -.1314E+02   .9999999  .0000261 -.0001319
T 5174 19 .1519292E+11   1100010E-01 -.2896E+01 -.6664E+01   .9999999 -.0000368 -.0001140
T 5175 19 .1519371E+11   1100011E-01 -.8838E+01  .1218E+02   .9999999 -.0001719  .0001019
T 5176 19 .1519319E+11   1100007E-01 -.2101E+02 -.3214E+01   .9999999 -.0003640  .0000394
T 5177 19 .1519333E+11   1100015E-01 -.2321E+00 -.1640E+02   .9999999 -.0000344 -.0003556
T 5178 19 .1519277E+11   1100014E-01  .2836E+02  .2887E+01   .9999999  .0002876  .0000334
T 5179 19 .1519213E+11   1100019E-01 -.8052E+01 -.2603E+01   .9999999 -.0001404 -.0001313
T 5180 19 .1519202E+11   1100010E-01  .6497E+01 -.1410E+01   .9999999  .0001412 -.0000015
T 5181 19 .1519259E+11   1100014E-01 -.2903E+02  .6676E+00   .9999999 -.0003611  .0000134
T 5182 19 .1519228E+11   1100021E-01  .4007E+02  .9920E+02   .9999993  .0004644  .0011171
T 5183 19 .1519320E+11   1100009E-01  .1489E+02  .1932E+01   .9999999  .0002197  .0001377
T 5184 19 .1519282E+11   1100018E-01  .3579E+01 -.3283E+01   .9999999 -.0000281 -.0000596
T 5185 19 .1519298E+11   1100020E-01  .6252E+01 -.9249E+01   .9999999  .0000063  .0000235
T 5186 19 .1519164E+11   1100023E-01  .1727E+02 -.5320E+01   .9999999  .0002489 -.0002267
T 5187 19 .1519199E+11   1100011E-01 -.1701E-01 -.1784E+01   .9999999 -.0001202  .0000106
T 5188 19 .1519267E+11   1100022E-01 -.2345E+00 -.2283E+01   .9999999  .0000315 -.0001172
T 5189 19 .1519395E+11   1100005E-01 -.5094E+01 -.6365E+01   .9999999 -.0000009 -.0002973
T 5190 19 .1519218E+11   1100001E-01  .1547E+02 -.4701E+01   .9999999  .0002606 -.0000090
T 5191 19 .1519295E+11   1100005E-01 -.3339E+00  .4562E+01   .9999999 -.0000546  .0001027
T 5192 19 .1519376E+11   1100018E-01  .1165E+02 -.9368E+01   .9999999  .0002578 -.0001885
T 5193 19 .1519257E+11   1100016E-01  .3393E+01 -.7513E-01   .9999999  .0000717  .0000310
T 5194 19 .1519179E+11   1100017E-01 -.9489E+01 -.1190E+02   .9999999 -.0001037 -.0002084
T 5195 19 .1519340E+11   1100016E-01 -.6260E+00  .5654E+01   .9999999  .0000427  .0001613
T 5196 19 .1519236E+11   1100016E-01 -.7083E+01  .7101E+01   .9999999 -.0000030  .0002084
T 5197 19 .1519321E+11   1100020E-01 -.7759E+01  .1447E+02   .9999999 -.0000727  .0002718
T 5198 19 .1519260E+11   1100021E-01  .2115E+02 -.1631E+02   .9999999  .0004727 -.0002063
T 5199 19 .1519220E+11   1100016E-01  .1059E+01  .6578E+01   .9999999 -.0000093  .0001086
T 5200 19 .1519305E+11   1100002E-01 -.7191E+01  .2772E+01   .9999999 -.0001460  .0000609
T 5201 19 .1519147E+11   1100000E-01  .3172E+00 -.3657E+01   .9999999 -.0001176 -.0001414
T 5202 19 .1519231E+11   1100022E-01 -.7752E+01 -.3567E+01   .9999999 -.0001031  .0000003
T 5203 19 .1519324E+11   1100005E-01 -.6054E+01 -.9076E+01   .9999999  .0000266 -.0001432
T 5204 19 .1519184E+11   1100020E-01 -.1087E+02  .1085E+02   .9999999 -.0000990  .0001659
T 5205 19 .1519312E+11   1100019E-01 -.5444E+01  .2446E+01   .9999999 -.0005244 -.0000052
T 5206 19 .1519243E+11   1100011E-01  .1707E+02 -.3474E+00   .9999999  .0001919 -.0000871
T 5207 19 .1519201E+11   1100015E-01 -.9954E+01 -.8668E+01   .9999999 -.0002692 -.0002399
T 5208 19 .1519191E+11   1100010E-01  .9203E+02  .5939E+02   .9999987  .0013429  .0009157
T 5209 19 .1519173E+11   1100016E-01  .3603E+01  .1010E+01   .9999999  .0000891  .0000438
T 5210 19 .1519214E+11   1100005E-01  .6434E+01  .5413E+01   .9999999  .0001024  .0000441
T 5211 19 .1519334E+11   1100017E-01  .8287E+00 -.1304E+01   .9999999  .0000335  .0000140
T 5212 19 .1519248E+11   1100016E-01  .1619E+01 -.7364E+01   .9999999 -.0000159 -.0002076
T 5213 19 .1519356E+11   1100013E-01  .6936E+01 -.6886E+01   .9999999  .0001677 -.0001705
T 5214 19 .1519285E+11   1100005E-01  .5891E+01  .1612E+02   .9999999  .0000796  .0003612
T 5215 19 .1519311E+11   1100018E-01  .1099E+01  .1202E+02   .9999999  .0000796  .0001229
T 5216 19 .1519296E+11   1100017E-01  .1017E+02 -.8472E+01   .9999999  .0000809 -.0000803
T 5217 19 .1519273E+11   1100007E-01  .3604E+01 -.7059E+01   .9999999 -.0000343 -.0001529
T 5218 19 .1519270E+11   1100008E-01  .6282E+01  .7791E+01   .9999999  .0001969  .0001233
T 5219 19 .1519280E+11   1100001E-01 -.2750E+02 -.4838E+01   .9999999 -.0004559 -.0001303
T 5220 19 .1519358E+11   1100011E-01  .7477E-01  .3364E+01   .9999999 -.0001347  .0000176
T 5221 19 .1519286E+11   1100013E-01  .5571E+01 -.8458E+00   .9999999 -.0000196  .0000060
T 5222 19 .1519306E+11   1100022E-01 -.3538E+01 -.9211E+01   .9999999  .0000176 -.0000827
T 5223 19 .1519393E+11   1100019E-01  .6869E+01 -.2482E+01   .9999999  .0000924 -.0001002
T 5224 19 .1519200E+11   1100010E-01  .8869E+01  .1155E+02   .9999999  .0002314  .0002907
T 5225 19 .1519235E+11   1100007E-01  .1600E+01  .2964E+01   .9999999  .0000231 -.0000735
T 5226 19 .1519182E+11   1100010E-01 -.1506E+01  .6997E+01   .9999999  .0000660  .0001933
T 5227 19 .1519134E+11   1100013E-01 -.1002E+02 -.9286E+01   .9999999 -.0001885 -.0001695
T 5228 19 .1519270E+11   1100009E-01  .8365E+00  .3158E+01   .9999999  .0000697  .0000406
T 5229 19 .1519297E+11   1100000E-01  .2595E+01  .1686E+02   .9999999  .0000075  .0002214
T 5230 19 .1519240E+11   1100020E-01  .1037E+02 -.1319E+02   .9999999  .0001610 -.0001768
T 5231 19 .1519330E+11   1100019E-01  .1002E+01 -.1638E+02   .9999999  .0001789 -.0001810
T 5232 19 .1519349E+11   1100020E-01  .1712E+02 -.1356E+02   .9999999  .0000236 -.0000680
T 5233 19 .1519185E+11   1100006E-01  .3131E+02  .2241E+02   .9999995  .0009438  .0003580
T 5234 19 .1519314E+11   1100020E-01  .4072E+02  .1574E+02   .9999999  .0004146  .0002911
T 5235 19 .1519176E+11   1100019E-01 -.8715E+00 -.7946E+01   .9999999 -.0000921 -.0000554
T 5236 19 .1519276E+11   1100021E-01 -.6582E+00 -.1266E+02   .9999999 -.0000792 -.0002693
T 5237 19 .1519258E+11   1100022E-01  .4550E+01  .3598E+01   .9999999  .0000289 -.0000150
T 5238 19 .1519274E+11   1100015E-01 -.1570E+02  .1951E+01   .9999999 -.0002836  .0000078
T 5239 19 .1519227E+11   1100022E-01 -.1023E+02  .8218E+01   .9999999 -.0001137  .0001458
T 5240 19 .1519206E+11   1100003E-01 -.2091E+01 -.2943E+02   .9999997 -.0002075 -.0007274
