============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  K(15.2 GeV) ==> Tarcza(  11 um) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  121 19 .1519326E+11   1100009E-01 -.1567E+02 -.9760E+01   .9999999 -.0002386 -.0001030
T  122 19 .1519330E+11   1100013E-01  .5442E+01 -.6802E+01   .9999999  .0001656 -.0000449
T  123 19 .1519219E+11   1100018E-01  .6522E+01  .1114E+02   .9999999  .0001354  .0001930
T  124 19 .1519259E+11   1100011E-01 -.4060E+00  .1454E+02   .9999999 -.0001543  .0000185
T  125 19 .1519261E+11   1100020E-01 -.1135E+02 -.1791E+02   .9999999 -.0001077 -.0001331
T  126 19 .1519286E+11   1100001E-01 -.4924E+00 -.1531E+02   .9999999 -.0000755 -.0002240
T  127 19 .1519280E+11   1100016E-01  .1353E+02  .4759E+01   .9999999  .0001770  .0000241
T  128 19 .1519188E+11   1100016E-01  .2964E+01  .4016E+01   .9999999 -.0000044  .0000287
T  129 19 .1519229E+11   1100019E-01  .1782E+02  .3024E+01   .9999999  .0002758  .0000496
T  130 19 .1519322E+11   1100009E-01 -.8698E+01  .1664E+02   .9999999 -.0001306  .0002429
T  131 19 .1519232E+11   1100013E-01  .1832E+01  .6155E+01   .9999999  .0000042  .0000883
T  132 19 .1519275E+11   1100004E-01  .3307E+02  .2455E+01   .9999999  .0004078  .0000828
T  133 19 .1519236E+11   1100012E-01 -.8499E+01 -.1419E+02   .9999999 -.0000820 -.0002113
T  134 19 .1519286E+11   1100000E-01  .3200E+01 -.7914E+01   .9999999  .0000555 -.0001146
T  135 19 .1519170E+11   1100010E-01 -.3300E+01  .1214E+02   .9999999 -.0000644  .0001065
T  136 19 .1519267E+11   1100005E-01  .9548E+01 -.8549E+01   .9999999  .0002363 -.0000334
T  137 19 .1519062E+11   1100021E-01 -.3298E+01  .6627E+01   .9999999 -.0000203  .0001028
T  138 19 .1519243E+11   1100016E-01  .1917E+02 -.7477E+01   .9999999  .0002537 -.0001142
T  139 19 .1519254E+11   1100001E-01 -.1166E+01  .1027E+02   .9999999 -.0000746  .0001218
T  140 19 .1519247E+11   1100004E-01 -.4392E+02  .2287E+02   .9999997 -.0006369  .0003687
T  141 19 .1519368E+11   1100016E-01 -.9362E+01  .8980E+01   .9999999 -.0001898  .0001010
T  142 19 .1519457E+11   1100013E-01  .8565E+01 -.1076E+02   .9999999  .0001302 -.0002119
T  143 19 .1519168E+11   1100016E-01 -.9484E+01  .3218E+01   .9999999 -.0001066  .0000740
T  144 19 .1519208E+11   1100020E-01  .3293E+00  .7435E+01   .9999999 -.0000267  .0001515
T  145 19 .1519425E+11   1100006E-01 -.1162E+02  .4368E+01   .9999999 -.0002097 -.0000479
T  146 19 .1519254E+11   1100006E-01  .1414E+02  .8114E+01   .9999999  .0003702  .0002423
T  147 19 .1519229E+11   1100010E-01  .4160E+01 -.5288E+01   .9999999  .0000497 -.0001216
T  148 19 .1519262E+11   1100016E-01 -.8125E+01  .8156E+01   .9999999 -.0001937  .0002179
T  149 19 .1519264E+11   1100001E-01 -.4167E+01  .1088E+02   .9999999 -.0000878  .0002296
T  150 19 .1519313E+11   1100008E-01 -.8120E+00 -.1021E+02   .9999999  .0000598 -.0001293
T  151 19 .1519387E+11   1100018E-01  .9155E+00  .5370E+01   .9999999 -.0000140  .0002029
T  152 19 .1519160E+11   1100021E-01  .2853E+01  .1366E+01   .9999999 -.0000124  .0000252
T  153 19 .1519203E+11   1100020E-01  .4560E+01  .5686E+01   .9999999  .0000435  .0001403
T  154 19 .1519322E+11   1100016E-01 -.9336E+01 -.6707E+01   .9999999 -.0001727 -.0000468
